,pf,row,visible,x,y,z,labeled,x_proj,y_proj,x_proj_rotated,y_proj_rotated,x_pixel,y_pixel
5287,7.0,352.0,1.0,-3.9263642208050884,-12.445326994723024,2820.2669617926576,False,2820.2669617926576,-3.9263642208050884,-713.2443095017238,-2728.5900584511755,48,68
5288,8.0,352.0,1.0,-8.619849472861668,-9.797994440966296,2821.3479617926578,False,2821.3479617926578,-8.619849472861668,-718.0587977227378,-2728.455641261095,48,68
5289,9.0,352.0,1.0,-11.843620161978206,-5.4800694757259505,2822.4289617926574,True,2822.4289617926574,-11.843620161978206,-721.450831894162,-2728.690933921198,48,68
5290,10.0,352.0,1.0,-13.048012080642637,-0.22777344753898737,2823.5099617926576,False,2823.5099617926576,-13.048012080642637,-722.8884229498155,-2729.4342056416676,48,68
5291,11.0,352.0,1.0,-12.02767218319896,5.063358752202138,2824.5909617926577,False,2824.5909617926577,-12.02767218319896,-722.1728212285368,-2730.737113421527,48,68
5292,12.0,352.0,1.0,-8.956572000257184,9.491170528665526,2825.671961792658,True,2825.671961792658,-8.956572000257184,-719.4724039883795,-2732.5558943491615,48,68
5293,13.0,352.0,1.0,-4.358344882646466,12.300704446653022,2826.7529617926575,False,2826.7529617926575,-4.358344882646466,-715.2939664936549,-2734.7588273322112,48,68
5294,14.0,352.0,1.0,0.9829953211622854,13.012925120762551,2827.8339617926576,False,2827.8339617926576,0.9829953211622854,-710.3963116451531,-2737.1486920057378,48,68
5295,0.0,353.0,1.0,6.326748448444978,11.413796654492275,2820.6905866841134,False,2820.6905866841134,6.326748448444978,-703.4274622676177,-2731.579253633699,48,68
5296,1.0,353.0,1.0,10.3988333994808,7.8845902829406835,2821.7715866841136,False,2821.7715866841136,10.3988333994808,-699.7582481788363,-2733.649834426409,48,68
5297,2.0,353.0,1.0,12.697880789603111,3.011033618714386,2822.8525866841132,False,2822.8525866841132,12.697880789603111,-697.8050574065493,-2735.2744038183037,48,68
5298,3.0,353.0,1.0,12.83189497656896,-2.37591483650074,2823.9335866841134,True,2823.9335866841134,12.83189497656896,-697.9472804819461,-2736.3543544649233,48,68
5299,4.0,353.0,1.0,10.778026071543923,-7.35776148030904,2825.0145866841135,False,2825.0145866841135,10.778026071543923,-700.2070325270539,-2736.8839384277276,48,68
5300,5.0,353.0,1.0,6.886465925277679,-11.085083989758013,2826.0955866841136,False,2826.0955866841136,6.886465925277679,-704.245382548881,-2736.9512472177767,48,68
5301,6.0,353.0,1.0,1.8207391895093876,-12.922360806129223,2827.1765866841133,False,2827.1765866841133,1.8207391895093876,-709.4201423622727,-2736.7231918841776,48,68
5302,7.0,353.0,1.0,-3.555429962981196,-12.556329789326796,2828.2575866841134,False,2828.2575866841134,-3.555429962981196,-714.8953619274872,-2736.4170440948933,48,68
5303,8.0,353.0,1.0,-8.325385838713474,-10.049400511301615,2829.3385866841136,False,2829.3385866841136,-8.325385838713474,-719.7838617634536,-2736.263390555432,48,68
5304,9.0,353.0,1.0,-11.675834233743792,-5.829013205177744,2830.4195866841133,False,2830.4195866841133,-11.675834233743792,-723.2985001604284,-2736.466817166946,48,68
5305,10.0,353.0,1.0,-13.035511947472388,-0.6147587065708209,2831.5005866841134,False,2831.5005866841134,-13.035511947472388,-724.88638360183,-2737.171026412648,48,68
5306,11.0,353.0,1.0,-12.172589161633477,4.70431430732293,2832.5815866841135,False,2832.5815866841135,-12.172589161633477,-724.3231370476859,-2738.434335580495,48,68
5307,12.0,353.0,1.0,-9.234197237283079,9.22128523487662,2833.6625866841136,False,2833.6625866841136,-9.234197237283079,-721.7511606657793,-2740.219733461081,48,68
5308,13.0,353.0,1.0,-4.721342301783371,12.165994692970688,2834.7435866841133,False,2834.7435866841133,-4.721342301783371,-717.6553501036769,-2742.401190888636,48,68
5309,14.0,353.0,1.0,0.5965180528251486,13.036359392585556,2835.8245866841135,False,2835.8245866841135,0.5965180528251486,-712.7804200804036,-2744.785149155743,48,68
5310,0.0,354.0,1.0,5.985359316648205,11.596463851132057,2828.68121157557,False,2828.68121157557,5.985359316648205,-705.7679324318548,-2739.2270528011454,48,68
5311,1.0,354.0,1.0,10.160350278344996,8.189614290144243,2829.7622115755703,False,2829.7622115755703,10.160350278344996,-701.9991214041283,-2741.3235198215248,48,68
5312,2.0,354.0,1.0,12.602965887587047,3.3864067736049175,2830.84321157557,True,2830.84321157557,12.602965887587047,-699.9069790287009,-2742.9842041068277,48,68
5313,3.0,354.0,1.0,12.89673161731096,-1.9941949731788489,2831.92421157557,False,2831.92421157557,12.89673161731096,-699.8945875723686,-2744.104340596623,48,68
5314,4.0,354.0,1.0,10.991559380430392,-7.034779483855387,2833.0052115755702,False,2833.0052115755702,10.991559380430392,-702.0104244770157,-2744.671329525186,48,68
5315,5.0,354.0,1.0,7.212287724331574,-10.875909423191056,2834.0862115755704,False,2834.0862115755704,7.212287724331574,-705.9400967857762,-2744.7668847257455,48,68
5316,6.0,354.0,1.0,2.2032957194103813,-12.862658666575426,2835.16721157557,False,2835.16721157557,2.2032957194103813,-711.0599462446808,-2744.553101135362,48,68
5317,7.0,354.0,1.0,-3.1813659321184358,-12.656279500941665,2836.24821157557,False,2836.24821157557,-3.1813659321184358,-716.5433852219858,-2744.244817039732,48,68
